Title,Year Released,Director
The Godfather,1972,Francis Ford Coppola
The Shawshank Redemption,1994,Frank Darabont
Citizen Kane,1941,Orson Welles
Gone with the wind,1939,Victor Fleming
The Sound of Music,1965,Robert Wise
Spirited Away,2001,Hayao Miyazaki
"The Good, the Bad and the Ugly",1966,Sergio Leone
It's a Wonderful Life,1946,Frank Capra
Amadeus,1984,Milos Forman
The Lord of the Rings: The Return of the King,2003,Peter Jackson
Saving Private Ryan,1998,Steven Spielberg
Rear Window,,Alfred Hitchcock
Rocky,1976,John G. Avildsen
